234,690
833,632
686,508
709,925
584,539
818,618
228,683
685,509
700,926
586,539
812,612
223,673
685,508
588,539
695,927
214,665
794,608
686,509
590,539
213,664
777,599
588,540
684,511
215,660
783,604
683,510
583,536
668,928
213,661
769,597
670,927
679,511
576,534
213,661
757,579
673,927
675,512
563,524
213,660
741,572
671,926
675,514
567,520
213,662
732,570
665,927
564,537
669,498
213,661
724,567
659,925
571,541
213,661
720,565
663,926
565,538
213,661
716,563
661,925
582,543
213,661
712,551
657,925
587,546
213,661
663,926
702,539
581,543
213,661
694,532
660,926
581,543
213,660
692,531
656,925
591,542
213,660
689,529
646,925
586,546
213,659
690,530
593,553
641,926
214,660
602,553
693,521
213,660
616,566
691,497
213,660
639,580
700,452
214,659
648,582
549,465
699,445
216,659
545,483
662,603
691,396
214,659
547,488
677,603
198,659
543,487
690,606
641,927
201,661
536,489
697,629
253,337
644,926
206,657
539,483
709,641
257,338
207,655
537,485
720,643
685,422
260,336
214,654
530,490
716,639
673,424
265,335
222,649
723,643
524,488
674,440
265,335
222,642
509,483
737,645
679,444
266,335
643,925
223,640
746,644
485,468
681,445
266,336
221,641
750,646
438,414
690,463
264,335
218,644
751,647
695,458
430,412
652,924
264,336
212,643
751,647
413,411
703,448
263,337
206,640
753,648
399,401
712,449
262,337
748,649
203,641
261,338
643,923
735,447
747,644
199,634
262,337
643,923
754,637
186,638
643,923
337,418
262,337
177,637
759,652
263,337
644,924
173,635
281,419
764,643
650,924
174,635
278,420
744,653
649,924
172,638
845,621
745,653
647,924
254,477
172,638
856,632
745,651
240,480
651,924
171,639
868,635
746,653
654,923
228,561
881,637
744,653
171,637
656,924
906,634
172,637
656,924
747,654
209,499
936,645
172,638
745,648
655,924
268,336
957,658
172,640
744,648
658,924
165,418
268,336
969,655
172,640
742,651
659,924
156,411
267,336
172,635
997,659
743,649
659,924
267,336
172,639
1025,669
659,923
742,649
268,336
173,640
660,923
1088,664
741,643
268,336
172,638
661,923
1106,671
742,644
268,336
172,635
1092,683
677,924
742,647
170,632
681,924
1120,681
743,635
171,633
685,924
744,642
1159,682
172,634
680,924
743,641
1166,679
171,632
1193,711
743,646
672,925
172,638
1215,715
742,650
673,925
172,641
1247,774
672,924
741,653
1247,776
172,642
740,651
672,924
170,643
1246,780
740,652
679,922
270,335
172,643
1244,731
685,922
741,645
270,335
174,641
1243,792
683,922
741,642
270,336
174,641
1235,790
680,922
741,639
270,335
176,639
1220,773
674,923
270,336
738,630
178,640
678,921
738,634
1197,789
270,336
180,639
693,922
1211,687
